"version_season","season_name","location","country","winner","winner_id","final_vote","runner_ups"
"US01","Survivor: Borneo","Pulau Tiga, Sabah, Malaysia","Malaysia","Richard","US0016","4-3","Kelly Wiglesworth"
"US02","Survivor: The Australian Outback","Herbert River at Goshen Station, Queensland, Australia","Australia","Tina","US0032","4-3","Colby Donaldson"
"US03","Survivor: Africa","Shaba National Reserve, Kenya","Kenya","Ethan","US0048","5-2","Kim Johnson"
"US04","Survivor: Marquesas","Nuku Hiva, Marquesas Islands, French Polynesia","France","Vecepia","US0064","4-3","Neleh Dennis"
"US05","Survivor: Thailand","Ko Tarutao, Satun Province, Thailand","Thailand","Brian","US0080","4-3","Clay Jordan"
"US06","Survivor: The Amazon","Rio Negro, Amazonas, Brazil","Brazil","Jenna","US0096","6-1","Matthew Von Ertfelda"
"US07","Survivor: Pearl Islands","Pearl Islands, Panama","Panama","Sandra","US0112","6-1","Lillian Morris"
"US08","Survivor: All-Stars","Pearl Islands, Panama","Panama","Amber","US0027","4-3","Rob Mariano"
"US09","Survivor: Vanuatu","Efate, Shefa, Vanuatu","Vanuatu","Chris","US0130","5-2","Twila Tanner"
"US10","Survivor: Palau","Koror, Palau","Palau","Tom","US0150","6-1","Katie Gallagher"
"US11","Survivor: Guatemala","Laguna Yaxha, Yaxha-Nakum-Naranjo National Park, Peten, Guatemala","Guatemala","Danni","US0166","6-1","Stephenie LaGrossa"
"US12","Survivor: Panama","Pearl Islands, Panama","Panama","Aras","US0182","5-2","Danielle DiLorenzo"
"US13","Survivor: Cook Islands","Aitutaki, Cook Islands","Islands","Yul","US0202","5-4-0","Ozzy Lusth, Becky Lee"
"US14","Survivor: Fiji","Macuata, Vanua Levu, Fiji","Fiji","Earl","US0221","9-0-0","Cassandra Franklin, Andria Herd"
"US15","Survivor: China","Zhelin, Jiujiang, Jiangxi, China","China","Todd","US0237","4-2-1","Courtney Yates, Amanda Kimmel"
"US16","Survivor: Micronesia","Koror, Palau","Palau","Parvati","US0197","5-3","Amanda Kimmel"
"US17","Survivor: Gabon","Wonga-Wongue Presidential Reserve, Estuaire, Gabon","Gabon","Bob","US0265","4-3-0","Susie Smith, Jessica Kiper"
"US18","Survivor: Tocantins","Jalapao, Tocantins, Brazil","Brazil","J.T.","US0281","7-0","Stephen Fishbach"
"US19","Survivor: Samoa","Upolu, Samoa","Samoa","Natalie","US0301","7-2-0","Russell Hantz, Mick Trimming"
"US20","Survivor: Heroes vs. Villains","Upolu, Samoa","Samoa","Sandra","US0112","6-3-0","Parvati Shallow, Russell Hantz"
"US21","Survivor: Nicaragua","San Juan del Sur, Rivas, Nicaragua","Nicaragua","Fabio","US0321","5-4-0","Chase Rice, Matthew Lenahan"
"US22","Survivor: Redemption Island","San Juan del Sur, Rivas, Nicaragua","Nicaragua","Boston Rob","US0055","8-1-0","Phillip Sheppard, Natalie Tenerelli"
"US23","Survivor: South Pacific","San Juan del Sur, Rivas, Nicaragua","Nicaragua","Sophie","US0353","6-3-0","Benjamin Wade, Albert Destrade"
"US24","Survivor: One World","San Juan del Sur, Rivas, Nicaragua","Nicaragua","Kim","US0371","7-2-0","Sabrina Thompson, Chelsea Meissner"
"US25","Survivor: Philippines","Caramoan, Camarines Sur, Philippines","Philippines","Denise","US0386","6-1-1","Lisa Whelchel, Michael Skupin"
"US26","Survivor: Caramoan","Caramoan, Camarines Sur, Philippines","Philippines","Cochran","US0348","8-0-0","Dawn Meehan, Sherri Biethman"
"US27","Survivor: Blood vs. Water","Palaui Island, Santa Ana, Cagayan, Philippines","Philippines","Tyson","US0274","7-1-0","Monica Culpepper, Gervase Peterson"
"US28","Survivor: Cagayan","Palaui Island, Santa Ana, Cagayan, Philippines","Philippines","Tony","US0424","8-1","Yung Hwang"
"US29","Survivor: San Juan del Sur","San Juan del Sur, Rivas, Nicaragua","Nicaragua","Natalie","US0442","5-2-1","Jaclyn Schultz, Missy Payne"
"US30","Survivor: Worlds Apart","San Juan del Sur, Rivas, Nicaragua","Nicaragua","Mike","US0460","6-1-1","Carolyn Rivera, Will Sims II"
"US31","Survivor: Cambodia","Koh Rong, Cambodia","Cambodia","Jeremy","US0433","10-0-0","Spencer Bledsoe, Tasha Fox"
"US32","Survivor: Kaoh Rong","Koh Rong, Cambodia","Cambodia","Michele","US0478","5-2-0","Aubry Bracco, Tai Trang"
"US33","Survivor: Millennials vs. Gen X","Mamanuca Islands, Fiji","Fiji","Adam","US0498","10-0-0","Hannah Shapiro, Ken McNickle"
"US34","Survivor: Game Changers","Mamanuca Islands, Fiji","Fiji","Sarah","US0414","7-3-0","Brad Culpepper, Troy Robertson"
"US35","Survivor: Heroes vs. Healers vs. Hustlers","Mamanuca Islands, Fiji","Fiji","Ben","US0516","5-2-1","Chrissy Hofbeck, Ryan Ulrich"
"US36","Survivor: Ghost Island","Mamanuca Islands, Fiji","Fiji","Wendell","US0536","6-5-0","Domenick Abbate, Laurel Johnson"
"US37","Survivor: David vs. Goliath","Mamanuca Islands, Fiji","Fiji","Nick","US0556","7-3-0","Mike White, Angelina Keeley"
"US38","Survivor: Edge of Extinction","Mamanuca Islands, Fiji","Fiji","Chris","US0559","9-4-0","Gavin Whitson, Julie Rosenberg"
"US39","Survivor: Island of the Idols","Mamanuca Islands, Fiji","Fiji","Tommy","US0590","8-2-0","Dean Kowalski, Noura Salman"
"US40","Survivor: Winners at War","Mamanuca Islands, Fiji","Fiji","Tony","US0424","12-4-0","Natalie Anderson, Michele Fitzgerald"
"US41","Survivor: 41","Mamanuca Islands, Fiji","Fiji","Erika","US0594","7-1-0","Deshawn Radden, Xander Hastings"
"US42","Survivor: 42","Mamanuca Islands, Fiji","Fiji","Maryanne","US0619","7-1-0","Mike Turner, Romeo Escobar"
"US43","Survivor: 43","Mamanuca Islands, Fiji","Fiji","Gabler","US0638","7-1-0","Cassidy, Owen"
"US44","Survivor: 44","Mamanuca Islands, Fiji","Fiji","Yam Yam","US0662","7-1-0","Heidi, Carolyn"
"US45","Survivor: 45","Mamanuca Islands, Fiji","Fiji","Dee","US0666","5-3-0","Austin, Jake"
"US46","Survivor: 46","Mamanuca Islands, Fiji","Fiji","Kenzie","US0687","5-3-0","Charlie, Ben"
"US47","Survivor: 47","Mamanuca Islands, Fiji","Fiji","Rachel","US0707","7-1-0","Sam, Sue"
